time;a_x;a_y;a_z;g_x;g_y;g_z;m_x;m_y;m_z;ekf_a_x;ekf_a_y;ekf_a_z;gps_x;gps_y;bosch_a_x;bosch_a_y;bosch_a_z;ws;tps;brk;sw_theta
0.00;0.234644;-0.186757;-8.839843;0.001321;0.000423;-0.000236;-32.154877;-6.113526;35.247368;0.234;-0.186;-8.840;-10.5;0.0;0.235;-0.187;-8.840;120;50;0;-30
0.20;0.234644;-0.186757;-8.839843;0.001321;0.000423;-0.000236;-32.154877;-6.113526;35.247368;0.234;-0.186;-8.840;-9.0;3.0;0.235;-0.187;-8.840;150;60;0;-25
0.40;0.229855;-0.186757;-8.844632;0.000522;0.000557;-0.000103;-32.154877;-6.113526;35.247368;0.231;-0.187;-8.845;-6.0;6.0;0.230;-0.187;-8.845;180;70;5;-20
0.60;0.229855;-0.186757;-8.844632;0.000522;0.000557;-0.000103;-32.154877;-6.113526;35.247368;0.231;-0.187;-8.845;-2.0;8.5;0.230;-0.187;-8.845;200;80;10;-15
0.80;0.234644;-0.201123;-8.835054;-0.000011;0.000157;-0.000103;-32.154877; -6.113526;35.247368;0.234;-0.202;-8.835;2.0;10.0;0.235;-0.201;-8.835;220;90;15;-10
1.00;0.234644;-0.201123;-8.835054;-0.000011;0.000157;-0.000103;-32.154877;-6.113526;35.247368;0.234;-0.202;-8.835;6.0;10.5;0.235;-0.201;-8.835;240;95;20;-5
1.20;0.225066;-0.181969;-8.825478;0.000256;-0.000509;0.000430;-32.154877;-6.113526;35.247368;0.227;-0.182;-8.825;9.0;10.0;0.226;-0.182;-8.825;250;90;25;0
1.40;0.229855;-0.191546;-8.844632;-0.000277;-0.000242;-0.000768;-30.189857;-7.012574;34.729023;0.232;-0.193;-8.845;10.5;8.5;0.231;-0.192;-8.845;240;80;30;5
1.60;0.229855;-0.191546;-8.844632;-0.000277;-0.000242;-0.000768;-30.189857;-7.012574;34.729023;0.231;-0.193;-8.845;12.0;6.0;0.231;-0.192;-8.845;220;70;35;10
1.80;0.229855;-0.196335;-8.849421;0.001055;0.000157;-0.000236;-30.189857;-7.012574;34.729023;0.232;-0.195;-8.849;13.5;2.0;0.231;-0.196;-8.849;180;60;40;15
2.00;0.229855;-0.196335;-8.849421;0.001055;0.000157;-0.000236;-30.189857;-7.012574;34.729023;0.232;-0.195;-8.849;14.0;-2.0;0.231;-0.196;-8.849;150;50;45;20
2.20;0.234644;-0.191546;-8.849421;-0.000144;0.001089;-0.000103;-30.189857;-7.012574;34.729023;0.237;-0.192;-8.849;13.5;-6.0;0.236;-0.192;-8.849;120;40;50;25
2.40;0.234644;-0.191546;-8.849421;-0.000144;0.001089;-0.000103;-30.189857;-7.012574;34.729023;0.237;-0.192;-8.849;12.0;-9.0;0.236;-0.192;-8.849;100;30;55;30
2.60;0.239432;-0.196335;-8.830266;0.000123;0.000557;0.000563;-30.189857;-7.012574;34.729023;0.243;-0.196;-8.830;10.5;-10.5;0.241;-0.197;-8.830;80;20;60;35
2.80;0.239432;-0.196335;-8.830266;0.000123;0.000557;0.000563;-30.189857;-7.012574;34.729023;0.243;-0.196;-8.830;8.0;-12.0;0.241;-0.197;-8.830;60;10;65;40
3.00;0.249010;-0.196335;-8.868575;0.000788;0.001356;0.000430;-30.189857;-7.012574;34.729023;0.252;-0.196;-8.869;4.0;-13.5;0.251;-0.197;-8.869;40;5;70;45
3.20;0.249010;-0.196335;-8.868575;0.000788;0.001356;0.000430;-30.189857;-7.012574;34.729023;0.252;-0.196;-8.869;0.0;-14.0;0.251;-0.197;-8.869;20;0;75;50
3.40;0.239432;-0.186757;-8.849421;-0.000144;0.000024;0.000830;-30.189857;-7.012574;34.729023;0.241;-0.187;-8.849;-4.0;-13.5;0.241;-0.187;-8.849;10;5;80;55
3.60;0.239432;-0.186757;-8.849421;-0.000144;0.000024;0.000830;-30.189857;-7.012574;34.729023;0.241;-0.187;-8.849;-8.0;-12.0;0.241;-0.187;-8.849;15;10;85;60
3.80;0.225066;-0.186757;-8.835054;0.000788;0.000290;-0.000369;-30.904409;-7.372194;34.037899;0.226;-0.183;-8.835;-10.5;-10.5;0.227;-0.187;-8.835;30;20;90;65
4.00;0.229855;-0.205912;-8.835054;0.000389;0.000423;-0.000369;-30.904409;-7.372194;34.037899;0.233;-0.206;-8.835;-12.0;-8.0;0.232;-0.206;-8.835;60;30;95;70
